报道敌军宵遁	rutr
报到山中去	rgmf
报得三春辉	rtdi
鲍防	qgby
褒公鄂公毛发动	ywkf
抱关击柝	rufs
报国无成空白首	rlfu
包何	qnws
包贺	qnlk
暴虎冯河	jhui
包恢	qnnd
包佶	qnwf
宝剑直千金	pwfq
宝镜似空水	pqwi
包举宇内	qipm
鲍君徽	qvtm
暴君污吏	jvig
鲍老催	qfwm
鲍令晖	qwjp
抱明月而长终	rjex
抱琴看鹤去	rgrf
报任安书节选	rwpt
包融	qngk
鲍溶	qgip
宝扇迎归九华帐	pyqm
饱食终日	qwxj
褒姒灭之	yvgp
报孙会宗书	rbwn
暴殄天物圣所哀	jggy
报我不述	rtgs
包羞忍耻是男儿	quvq
包颖	qnxt
鸨羽	xfnn
褒之庐冢也	ypyb
报之以琼玖	rpng
报之以琼琚	rpng
北朝民歌	ufns
北狄愿和亲	uqdu
北斗兼春远	uuuf
北斗阑干南斗斜	uuuw
北斗七星高	uuay
北斗七星横夜半	uuau
北风北风	umum
北风吹白云	umkf
北风吹裙带	umkg
北风其凉	umau
背负青天朝下看	uqgr
背归鸿	ujia
北国风光	ulmi
北海若曰	uiaj
背后何所见	urwm
北极朝庭终不改	usfn
北京中华书局	uykn
悲来乎	dgtu
悲凉千里道	dutu
北流活活	uiii
北邙无数荒丘	uyfr
背面秋千下	udtg
杯盘狼籍	stqt
北齐二首	uyfu
北青萝	ugal
被驱不异犬与鸡	pcgc
北阙休上书	uuwn
背若泰山	uadm
北山白云里	umrj
北山移文	umty
北上太行山	uhdm
背世返能厌俗态	uard
北收要害之郡	unsv
北土非吾愿	ufdd
北杨柳	ussq
悲哉行	dftf
悲中乐	dkqi
奔波奚所营	diea
本长安倡女	stpv
本电子版	sjbt
本纪十二	sxff
本是池中物	sjit
奔腾急	deqv
本图宦达	slpd
本为贵公子	sykb
本性能耐寒	sncp
本以高难饱	snyq
本在于上	sdgh
本之则无	spmf
本自无教训	stfy
本自无人识	stfy
崩年亦在永安宫	mryp
迸泉飒飒飞木末	urug
迸水落遥空	uiap
必变色而作	nyqw
必表而出之	ngdp
必不得已而去	ngtf
彼采艾兮	teaw
彼采葛兮	teaw
彼采萧兮	teaw
彼苍者天	tafg
必朝服而朝	nfef
碧城三首	gfdu
碧城十二曲阑干	gfff
彼出于是	tbgj
碧窗梦	gpss
彼此甘心无后期	thaa
彼恶得而知之	tgtp
彼恶知之	tgtp
彼尔维何	tqxw
蔽芾甘棠	aaai
碧峰出山后	gmbr
比干谏而死	xfyg
必告父母	ntwx
敝笱	umtq
必故强之	ndxp
必故兴之	ndip
必故与之	ndgp
必故张之	ndxp
彼何人斯	twwa
碧荷生幽泉	gatr
必河之鲤	nipq
必积其德义	ntay
比及三年	xedr
彼稷之苗	ttpa
彼稷之实	ttpp
彼稷之穗	ttpt
彼狡童兮	tquw
必浚其泉源	niai
彼君子兮	tvbw
壁立千仞无依倚	nutw
鄙陋没世	kbia
彼路斯何	tkaw
鄙嫚不能萌	kvga
比梅	xxst
彼美孟姜	tubu
彼美人兮	tuww
闭门春尽杨花落	uuda
碧梦	grss
碧牡丹	gtmy
比目鱼	xhqg
比其反也	xarb
必齐如也	nyvb
彼其于世	taga
必齐之姜	nypu
彼其之子	tapb
必千乘之家	nttp
彼且恶乎待哉	tegf
彼窃钩者诛	tpqy
彼且奚适也	teeb
比权量力	xsjl
碧纱如烟隔窗语	gxvy
必世而后仁	nadw
必使反之	nwrp
彼是莫得其偶	tjaw
避世之人	napw
必熟而荐之	nydp
彼黍离离	ttyy
碧树银台万种色	gsqq
碧水浩浩云茫茫	giia
笔所未到气已吞	trfg
彼童子之师	tubj
必闻其政	nuag
碧文圆顶夜深缝	gylx
碧梧栖老凤凰枝	gsss
鼻息干虹蜺	ttfj
彼陷溺其民	tbin
碧虚	grha
毕耀	xxiq
彼尧舜之耿介兮	taew
必也狂狷乎	nbqt
必也临事而惧	nbjn
必也射乎	nbtt
必也圣乎	nbct
必也使无讼乎	nbwt
必以告妾	nntu
比翼共翱翔	xnau
必以身后之	nntp
彼亦是也	tyjb
必以言下之	nnyp
彼亦一是非	tygd
碧鹦鹉对红蔷薇	gmga
必有可观者焉	ndsg
必有明衣	ndjy
必有寝衣	ndpy
必有事焉而勿正	ndgg
必有我师	ndtj
必有凶年	ndqr
彼与彼年相若也	tgtb
比于赤子	xgfb
碧玉搔头落水中	ggrk
碧玉箫	ggtv
比予于毒	xcgg
彼于致福者	tggf
碧云深	gfip
彼泽之陂	tipb
笔阵独扫千人军	tbqp
必正席先尝之	ngyp
敝之而无憾	updn
必作于细	nwgx
必作于易	nwgj
边草尽来兵老	lanf
边草无穷日暮	lafa
边城路	lfkh
边城暮雨雁飞低	lfaw
遍地英雄下夕烟	yfao
变调如闻杨柳春	yyvd
笾豆之事	tgpg
变而有气	yddr
边风飘飘那可度	lmsy
汴河怀古	iind
汴河阻冻	iibu
辩乎荣辱之境	utaf
便即下阶拜	wvgr
便可白公姥	wsrv
便利此月内	wthm
遍历名山大川	ydqk
褊浅无所用	pife
遍绕篱边日渐斜	yxtw
边亭流血成海水	lyii
边庭流血成海水	lyii
边庭飘摇那可度	lysy
便言多令才	wyqf
便有精生白骨堆	wdof
便至四十西营田	wgll
便作旦夕间	wwju
变作呜咽声	ywkf
骠国乐	clqi
摽有梅	rdst
别房太尉墓	kyda
别君去时何时还	kvfg
别来沧海事	kgig
别离时节	kyja
别离在今晨	kydj
别路绕山川	kkxk
别梦依稀咒逝川	kswk
别时多	kjqq
别时茫茫江浸月	kjae
别树羁雌昨夜惊	ksln
别仙子	kwbb
别巷寂寥人散后	kapr
别徐州	ktyt
别样清幽	ksix
别有根芽	kdsa
别有天地非人间	kdgu
别怨	klqb
鬓边华	dlwx
宾不顾矣	pgdc
